dataset,detector,transform,n,precision,recall,f1,balanced_accuracy,mcc,pr_auc,flip_rate,flip_ci_low,flip_ci_high,flip_count,flip_n
codexglue_full,VulBERTa-MLP-Devign-public,blank_line_expansion,2732,0.6271028037383177,0.5346613545816733,0.5772043010752688,0.6322595872434433,0.2700609995168829,0.6742840721419762,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,VulBERTa-MLP-Devign-public,brace_line_shift,2732,0.6271028037383177,0.5346613545816733,0.5772043010752688,0.6322595872434433,0.2700609995168829,0.6742840721419762,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,VulBERTa-MLP-Devign-public,code_normalization_abstraction,2732,0.6255835667600373,0.5338645418326693,0.5760963026655203,0.6311841327985284,0.2678205288569902,0.6757988458545646,0.02452415812591508,0.019357731365110778,0.031025838331984086,67,2732
codexglue_full,VulBERTa-MLP-Devign-public,comment_banner,2732,0.6311475409836066,0.4294820717131474,0.5111427216690374,0.6081059647665263,0.23244223026666985,0.645168308518392,0.1295754026354319,0.1175004681305162,0.1426905807789988,354,2732
codexglue_full,VulBERTa-MLP-Devign-public,control_flow_rewrite,2732,0.6271028037383177,0.5346613545816733,0.5772043010752688,0.6322595872434433,0.2700609995168829,0.6742723423064232,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,VulBERTa-MLP-Devign-public,dead_branch_after_opening_brace,2732,0.6193961573650503,0.5394422310756972,0.5766609880749574,0.6288951168919448,0.26222797013735694,0.6623093099706652,0.12847730600292825,0.11644934543001656,0.1415485939406927,351,2732
codexglue_full,VulBERTa-MLP-Devign-public,identifier_renaming,2732,0.6409537166900421,0.3641434262948207,0.4644308943089431,0.5954095601345465,0.21653149552595222,0.6422140863943893,0.14531478770131773,0.13259774622212853,0.15902787274360278,397,2732
codexglue_full,VulBERTa-MLP-Devign-public,safe_dead_code_carrier,2732,0.6073732718894009,0.5250996015936255,0.5632478632478632,0.6183385617988439,0.2410497716601059,0.6587083008700187,0.1328696925329429,0.12065560591258612,0.14611477161334624,363,2732
codexglue_full,LineVul-public,blank_line_expansion,2732,0.6,0.007171314741035857,0.014173228346456693,0.5015545131592789,0.020967471447095706,0.48816302558923463,0.0014641288433382138,0.000569513835547336,0.003758755546626029,4,2732
codexglue_full,LineVul-public,brace_line_shift,2732,0.6153846153846154,0.006374501992031873,0.012618296529968454,0.5014946308199835,0.021647101806862565,0.48854428021030233,0.0014641288433382138,0.000569513835547336,0.003758755546626029,4,2732
codexglue_full,LineVul-public,code_normalization_abstraction,2732,0.5833333333333334,0.005577689243027889,0.011049723756906077,0.5010962244454814,0.016522148211472087,0.4909766514272889,0.00036603221083455345,6.461659550125766e-05,0.0020705432478663214,1,2732
codexglue_full,LineVul-public,comment_banner,2732,0.5454545454545454,0.004780876494023904,0.009478672985781991,0.5006978180709795,0.010983068814449382,0.48735029872138946,0.0021961932650073207,0.0010069117138963692,0.00478343069414752,6,2732
codexglue_full,LineVul-public,control_flow_rewrite,2732,0.6153846153846154,0.006374501992031873,0.012618296529968454,0.5014946308199835,0.021647101806862565,0.4923471486910132,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,LineVul-public,dead_branch_after_opening_brace,2732,0.55,0.05258964143426295,0.096,0.5080145228159805,0.038980065675796524,0.48149741412515223,0.04062957540263543,0.033848478643242016,0.04870069762300436,111,2732
codexglue_full,LineVul-public,identifier_renaming,2732,0.6428571428571429,0.007171314741035857,0.014184397163120567,0.5018930371944854,0.026424848695036928,0.48881057573978814,0.0018301610541727673,0.0007819808824376141,0.004277325012671013,5,2732
codexglue_full,LineVul-public,safe_dead_code_carrier,2732,0.5586206896551724,0.06454183266932272,0.11571428571428571,0.5106053780814453,0.047150472202599734,0.49174024184844145,0.04978038067349927,0.04223832370897858,0.058586765380649344,136,2732
codexglue_full,ReGVD-official-calibrated,blank_line_expansion,2732,0.46305970149253733,0.9888446215139443,0.6307496823379923,0.5072862240948192,0.05314660923368025,0.504587616562026,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,ReGVD-official-calibrated,brace_line_shift,2732,0.46305970149253733,0.9888446215139443,0.6307496823379923,0.5072862240948192,0.05314660923368025,0.5043757218447478,0.0,0.0,0.0014041233304323173,0,2732
codexglue_full,ReGVD-official-calibrated,code_normalization_abstraction,2732,0.4626865671641791,0.9880478087649402,0.6302414231257941,0.5065492936851106,0.04777134874106903,0.5052482862388645,0.0007320644216691069,0.00020078143065507684,0.0026654149256477642,2,2732
codexglue_full,ReGVD-official-calibrated,comment_banner,2732,0.4662646061062948,0.9856573705179282,0.6330603889457523,0.5134786514065606,0.08016898350752984,0.5049053831855783,0.013543191800878478,0.00984156829857949,0.018610906010457517,37,2732
codexglue_full,ReGVD-official-calibrated,control_flow_rewrite,2732,0.46305970149253733,0.9888446215139443,0.6307496823379923,0.5072862240948192,0.05314660923368025,0.5045060330988107,0.0,0.0,0.0014041233304323173,0,2732
